Tree,Water.pot,Organ,Time,N/S,Location
112,1.289,Leaf,pd,NF,Mid
112,1.86,Stem,pd,NF,Mid
105,2.095,Leaf,pd,NF,Top
105,1.801,Stem,pd,NF,Top
102,1.952,Leaf,pd,NF,Top
102,2.573,Stem,pd,NF,Top
116,1.578,Leaf,pd,NF,Mid
116,1.441,Stem,pd,NF,Mid
100,1.317,Leaf,pd,SF,Bottom
100,1,Stem,pd,SF,Bottom
128,1.245,Leaf,pd,SF,Bottom
128,0.259,Stem,pd,SF,Bottom
101,0.934,Leaf,pd,NF,Mid
101,0.323,Stem,pd,NF,Mid
090,1.219,Leaf,pd,SF,Top
090,1.525,Stem,pd,SF,Top
145,1.821,Leaf,pd,NF,Top
145,1.312,Stem,pd,NF,Top
088,1.25,Leaf,pd,SF,Bottom
088,1.375,Stem,pd,SF,Bottom
009,1.596,Leaf,pd,SF,Top
009,1.684,Stem,pd,SF,Top
052,1.909,Leaf,pd,SF,Top
052,1.874,Stem,pd,SF,Top
109,1.356,Leaf,pd,NF,Mid
109,0.275,Stem,pd,NF,Mid
110,1.533,Leaf,pd,NF,Top
110,3.075,Stem,pd,NF,Top
141,1.122,Leaf,pd,NF,Mid
141,1.493,Stem,pd,NF,Mid
090,2.53,Leaf,md,SF,Top
090,2.682,Stem,md,SF,Top
009,2.013,Leaf,md,SF,Top
009,2.179,Stem,md,SF,Top
109,2.877,Leaf,md,NF,Mid
109,3.201,Stem,md,NF,Mid
101,1.52,Leaf,md,NF,Mid
101,2.652,Stem,md,NF,Mid
100,2.107,Leaf,md,SF,Bottom
100,4.928,Stem,md,SF,Bottom
098,2.353,Leaf,md,SF,Bottom
098,3.613,Stem,md,SF,Bottom
145,2.871,Leaf,md,NF,Top
145,3.451,Stem,md,NF,Top
116,3.03,Leaf,md,NF,Mid
116,2.728,Stem,md,NF,Mid
052,1.812,Leaf,md,SF,Top
052,1.577,Stem,md,SF,Top
141,2.892,Leaf,md,NF,Mid
141,1.624,Stem,md,NF,Mid
105,2.767,Leaf,md,NF,Top
105,2.767,Stem,md,NF,Top
112,2.874,Leaf,md,NF,Mid
112,2.53,Stem,md,NF,Mid
110,2.645,Leaf,md,NF,Top
110,4.145,Stem,md,NF,Top
102,3.033,Leaf,md,NF,Top
102,2.822,Stem,md,NF,Top
128,2.203,Leaf,md,SF,Bottom
128,1.494,Stem,md,SF,Bottom
098,1.596,Leaf,pd,SF,Bottom
098,1.684,Stem,pd,SF,Bottom
